id,country,state,city,station,pollutant_id,last_update,pollutant_min,pollutant_max,pollutant_avg
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",PM2.5,21-10-2021 01:00:00,69.0,109.0,86.0
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",PM10,21-10-2021 01:00:00,82.0,138.0,105.0
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",NO2,21-10-2021 01:00:00,10.0,42.0,19.0
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",NH3,21-10-2021 01:00:00,4.0,5.0,4.0
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",SO2,21-10-2021 01:00:00,16.0,42.0,27.0
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",CO,21-10-2021 01:00:00,15.0,45.0,32.0
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",OZONE,21-10-2021 01:00:00,4.0,82.0,42.0
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM2.5,21-10-2021 01:00:00,47.0,111.0,71.0
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM10,21-10-2021 01:00:00,49.0,120.0,86.0
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NO2,21-10-2021 01:00:00,11.0,44.0,23.0
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NH3,21-10-2021 01:00:00,2.0,6.0,4.0
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",SO2,21-10-2021 01:00:00,1.0,9.0,5.0
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",CO,21-10-2021 01:00:00,2.0,52.0,20.0
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",OZONE,21-10-2021 01:00:00,2.0,34.0,18.0
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",PM2.5,21-10-2021 01:00:00,76.0,131.0,92.0
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",PM10,21-10-2021 01:00:00,66.0,120.0,86.0
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",NO2,21-10-2021 01:00:00,14.0,88.0,49.0
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",NH3,21-10-2021 01:00:00,1.0,3.0,2.0
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",SO2,21-10-2021 01:00:00,4.0,10.0,7.0
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",CO,21-10-2021 01:00:00,39.0,68.0,51.0
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",OZONE,21-10-2021 01:00:00,9.0,49.0,25.0
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",PM2.5,21-10-2021 01:00:00,78.0,312.0,202.0
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",PM10,21-10-2021 01:00:00,77.0,276.0,157.0
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",NO2,21-10-2021 01:00:00,13.0,187.0,91.0
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",NH3,21-10-2021 01:00:00,2.0,9.0,4.0
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",SO2,21-10-2021 01:00:00,2.0,15.0,10.0
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",CO,21-10-2021 01:00:00,25.0,154.0,46.0
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",OZONE,21-10-2021 01:00:00,5.0,46.0,25.0
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",PM2.5,21-10-2021 01:00:00,1.0,31.0,11.0
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",NO2,21-10-2021 01:00:00,1.0,13.0,5.0
31,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",NH3,21-10-2021 01:00:00,1.0,4.0,2.0
32,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",SO2,21-10-2021 01:00:00,82.0,101.0,88.0
33,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",CO,21-10-2021 01:00:00,1.0,28.0,7.0
34,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",OZONE,21-10-2021 01:00:00,13.0,24.0,20.0
35,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",PM2.5,21-10-2021 01:00:00,2.0,38.0,11.0
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",PM10,21-10-2021 01:00:00,6.0,32.0,14.0
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",NO2,21-10-2021 01:00:00,5.0,5.0,5.0
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",NH3,21-10-2021 01:00:00,1.0,1.0,1.0
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",SO2,21-10-2021 01:00:00,37.0,40.0,38.0
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",CO,21-10-2021 01:00:00,10.0,19.0,11.0
41,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",OZONE,21-10-2021 01:00:00,18.0,21.0,20.0
42,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",PM2.5,21-10-2021 01:00:00,52.0,282.0,101.0
43,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",NO2,21-10-2021 01:00:00,5.0,7.0,6.0
44,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",SO2,21-10-2021 01:00:00,13.0,17.0,15.0
45,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",CO,21-10-2021 01:00:00,55.0,67.0,59.0
46,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",OZONE,21-10-2021 01:00:00,10.0,11.0,11.0
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",PM2.5,21-10-2021 01:00:00,18.0,70.0,45.0
