iter	RMSE
0	55.53444476
1	50.83285978
2	46.58621384
3	42.91809429
4	39.58573525
5	36.58015795
6	34.04049743
7	31.67024342
8	29.37572078
9	27.45853524
10	25.68396163
11	24.09503777
12	22.68619049
13	21.52751545
14	20.4308573
15	19.42564717
16	18.55964986
17	17.88245493
18	17.23089336
19	16.6023399
20	16.09144678
21	15.64251536
22	15.29237942
23	14.98258837
24	14.67234037
25	14.39758018
26	14.18807958
27	13.98582647
28	13.78345452
29	13.63075069
30	13.47835149
31	13.32969858
32	13.19213468
33	13.08600692
34	12.97425241
35	12.86770383
36	12.7913518
37	12.71707832
38	12.63300566
39	12.57535891
40	12.51358661
41	12.4458898
42	12.35728681
43	12.28867801
44	12.22073525
45	12.15558559
46	12.09850675
47	12.0473929
48	11.98545857
49	11.9678802
50	11.94895872
51	11.9446947
52	11.8916087
53	11.82411604
54	11.75729617
55	11.71367377
56	11.65609656
57	11.6149675
58	11.57875965
59	11.53188252
60	11.47488244
61	11.42868813
62	11.40451831
63	11.35702698
64	11.32424733
65	11.2899309
66	11.26864405
67	11.23452142
68	11.20043734
69	11.16536792
70	11.13111385
71	11.10089835
72	11.07139685
73	11.04260677
74	10.99829289
75	10.97414193
76	10.93006218
77	10.89748346
78	10.86637594
79	10.81761351
80	10.79050674
81	10.75946963
82	10.72133661
83	10.67169793
84	10.64760159
85	10.61397749
86	10.58140045
87	10.55478247
88	10.52871732
89	10.50518756
90	10.47755388
91	10.45243443
92	10.38349033
93	10.34291924
94	10.3100865
95	10.28787391
96	10.26738795
97	10.21393273
98	10.18955603
99	10.17826758
