iter	Passed	Remaining
0	2	224
1	4	215
2	6	207
3	8	201
4	10	200
5	12	196
6	14	192
7	16	190
8	18	189
9	20	186
10	22	183
11	24	181
12	26	179
13	28	177
14	30	175
15	32	172
16	34	170
17	36	168
18	38	166
19	40	163
20	43	161
21	44	159
22	46	157
23	49	155
24	51	153
25	53	150
26	55	148
27	57	146
28	58	144
29	60	142
30	62	140
31	64	138
32	67	136
33	68	133
34	71	131
35	73	129
36	75	127
37	77	125
38	79	123
39	81	121
40	83	119
41	85	117
42	87	115
43	89	113
44	91	111
45	93	109
46	95	107
47	97	105
48	99	103
49	101	101
50	103	99
51	104	96
52	106	94
53	108	92
54	110	90
55	111	87
56	113	85
57	116	84
58	118	82
59	120	80
60	122	78
61	124	76
62	126	74
63	128	72
64	130	70
65	132	68
66	134	66
67	136	64
68	138	62
69	140	60
70	142	58
71	144	56
72	146	54
73	148	52
74	150	50
75	152	48
76	154	46
77	156	44
78	158	42
79	160	40
80	162	38
81	164	36
82	166	34
83	168	32
84	170	30
85	172	28
86	174	26
87	176	24
88	178	22
89	180	20
90	182	18
91	184	16
92	186	14
93	188	12
94	190	10
95	192	8
96	194	6
97	196	4
98	198	2
99	200	0
